Name,Skills,College,Degree,Field,Company,Position
Ishaan Gupta,"Microsoft Office Suite, VideoScribe Software, PeopleSoft Finance Applications, Accounting, billing, Change Management, contracts, Client Relations, Database, delivery, Eclipse, Finance, financial reporting, financial statements, Front Office, hiring, instructor, Instructional Design, Leadership training, logistics, managing, needs analysis, payables, PeopleSoft HRMS, PeopleSoft, personnel, Program Management, Project Management, project plans, Teaching, training materials, training design and development, training material, training programs, upgrade, view","CALIFORNIA STATE UNIVERSITY, HAYWARD, UNIVERSITY OF MARYLAND, COLLEGE PARK, COLLEGE OF ARTS, SCIENCE, AND TECHNOLOGY","Master of Science, Bachelor of Science, Bachelor of Science","Education with an option in Online Teaching and Learning, Accounting, Business Administration","Company Name, Company Name, Company Name","Senior Manager, Instructional Designer/Training Manager/Database Manager/Senior Accountant, Online Course Instructor"
Sara Kapoor,"R, Python, Tableau, Power BI, SQL, SAS, Deep Learning, Neural Networks, Artificial Intelligence",NARSEE MONJEE INSTITUTE,BCA,,DENA FUNDS,BUSINESS ANALYST
Saanvi Ghosh,"Data Analytics, Linear Regression, Logistic Regression, Business Intelligence, Business Analysis, GraphQL, Python",Raja Kashwant Singh General College,B.A,Economics,"D&D Consultancy, Tanisha Quromba Brokerage","Associate Consultant, Junior Analyst Intern"
Vihaan Das,"C, C++, Python, JAVA, HTML, CSS, JavaScript, Data Structures, SQL, PyCharm, Jupyter Notebook, Google Colab, Code Blocks, MATLAB, Turbo C++, MS Office, Scikit-Learn, TensorFlow, OpenCV, NumPy, Pytesseract, Keras","Dayalbagh Educational Institute, Dayalbagh, Agra, St. Clares Senior Secondary School, Agra, St. Clares Senior Secondary School, Agra","B.Tech. (Electrical Engineering Specialization in Computer Science), XII, X","Electrical Engineering Specialized in Computer Science, N/A, N/A","Genisup India Pvt. Ltd., VUGS Technologies","Intern, Intern"
Diya Das,"Java, Spring, Javascript, CSS, HTML, REST APIs, React Native, Kotlin, PostgreSQL, MySQL",University of Santa Clara,Bachelor of Science,Computer Science,"Genesis10, Novalsys, Inc","Android Developer Intern, Android Developer Intern"
Aarav Chopra,"Machine Learning, Method Development, Artificial Intelligence, Data Modeling, Data Visualization, Data Validation, Deep Learning, MySQL, MongoDB, Python, Plotly, Seaborn, Matplotlib",CDAC ACTS,B.Tech,Electronics and Telecommunication,BlueM Solutions,Associate Software Engineer and Analyst
Tanya Reddy,"budget, hardware, network systems, database, Dec, documentation, inspection, logistics, meetings, MS Excel, Microsoft Office, Outlook, PowerPoint, network, networking, Operating Systems, Oracle, personnel, presentations, progress, quality, Maintain documentation, routers, safety, scheduling, shipping, spreadsheets, supervision",University of Phoenix Texas,Business Administration,Business Administration,"Company Name, Company Name, Company Name, Company Name","Engineering Technician, Consultant, Engineering Technician, Manufacturing Lead"
Kabir Nair,"Artificial Intelligence, Deep Learning, Reinforcement Learning, Tensorflow Keras, Scikit learn, Numpy, Pandas, Matplotlib","IIIT D&M Kancheepuram, Chennai",B.Tech(IT),Information Technology,Larsen & Toubro,Analyst Intern
Riya Malhotra,"Java, Spring, Javascript, CSS, HTML, REST APIs, React Native, Kotlin, PostgreSQL, MySQL",University of Santa Clara,Bachelor of Science,Computer Science,"Genesis10, Novalsys, Inc","Android Developer Intern, Android Developer Intern"
Aisha Bose,"Machine learning, Data Science, Deep Learning, Decision Trees, Random Forest, XGBoost, CATBoost, Classification, Regression, Scikit Learn, Numpy, Pandas, OpenCV, Python, Matplotlib, Loss Optimization","Raja Birsimbal College, Ranchi",B.Tech,CSE,TML Infotech,Junior Machine Learning And Deep Learning Engineer
Neha Reddy,"ArcView, AutoCad, Drafting, GPS, graphic, Inspection, Microsoft Access, Microstation, File Maintenance, repairs, supervision, surveys, utilities","University of Northern Iowa, Hawkeye Community College","BS, AAS","Construction Management, Civil and Construction Engineering Technology","Company Name, Company Name, Company Name","Engineering Technician, Senior Engineering Technician, Engineering Technician"
Kabir Chopra,"Python, Machine Learning, Deep Learning, Data Analysis, Computer Vision, AWS, Scikit-Learn, Numpy, Java, C++, SAP",V.V.I.T,B.TECH,,ACS Solutions Pvt. Ltd.,SOFTWARE ENGINEER - MACHINE LEARNING
Vikram Chauhan,"Material Management, Law Enforcement, mechanical test equipment, PCs, MS Office, 10key by touch, Customer Service, Forklift and Crane Certification, Self-motivation, Leadership, NDT Level II, mechanical theory, pneumatic and hydraulic theory, automation, closing, coaching, oral, hardware, customer support, designing, direction, hand tools, inventory, ISO 9001, Machinery, materials, mechanical, personnel, processes, Procurement, programming, progress, quality, Quality Control, Receiving, repairs, repairing, research, robotic systems, safety, scheduling, shipping, simulation, Supervisor, Test Equipment, Troubleshooting, written, articles","Monterey Peninsula College, San Francisco Police Academy","General Courses, Technical Diploma",",","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Equipment Engineering Technician, Mechanical Technician, Operating Engineer / Test Technician, Logistics Coordinator / Sr. Lab Technician, Production Control Analyst, Material/Production Planner"
Arjun Reddy,"Data Analysis, Business Analysis, Machine Learning, Regression Analysis, Time Series Analysis, SQL, Base SAS, Python, NLP, Credit Risk, Tableau, Statistical Analysis, Data Visualization, Data Science, R, Power Bi","KVoCT, Pune, KVoCT, Pune","B.CA, M.CA",",",Passionate Solution,Jr. Data Scientist
Ananya Das,"HTML, CSS, JavaScript (Angular), Python, Git, Algorithm Design, Technical Writing, Data Analysis, Interpersonal Communication, Patience","Princeton International School of Mathematics and Science, New York University","Master of Science, Bachelor of Science","Computer Science, Computer Science","Princeton International School of Mathematics and Science, HKA Enterprises, Academy of Mine","Computer Science Teacher, Software Engineer, Junior Software Engineer"
Priya Chopra,"Econometrics, Problem Solving, Data Analytics, Data Modeling, Data Validation, Data Reporting, Business Intelligence, Data Manipulation, Data Mining, Machine Learning, R Programming, SQL, Oracle, Scorecard, IFRS","Shaheed Bhagat Singh College (M), University of Delhi, Indian Statistical Institute (ISI), Delhi","B.A (Economics), MSc (Economics)","Economics, Economics",Home Credit India Finance,Finance Technology Expert
Aditya Sharma,"Software Development, Machine Learning, Deep Learning, Risk Assessment, Requirement Gathering, Application Support, JavaScript, Python, Docker, HTML, Hive, CSS, C, C++","Birla Institute of Technology (BIT), Ranchi",B.Tech,Electronics/Telecommunication,Axis Bank Limited,Software Developer (Machine Learning Engineer)
Arjun Patel,"API, Approach, ATL, audio, backup, broadcast, C++, CLI, com, CA, Hardware, concept, Content, clients, documentation, dynamic HTML5, editing, XML, FTP, functional, drawing, GUI, http, IDs, Innovation, explorer, IP, JavaScript, json, LAN, MB, C#, MFC, office, Win, Windows, 2000, migration, NAS, OOP, page, Proxy, rendering, SAN, Scrum, servers, specification, team management, threads, troubleshoot, Video, Video Editing, Visual C++, workflow, writer","Illinois Institute of Technology, National Institute of Technology","M.S, B.E","Computer Science, Electronics and Communication Engineering","Company Name, Company Name, Company Name, Company Name","Software Engineering Manager, Software Engineering Manager, Principal Software Engineer, Software Engineer"
Aditya Kumar,"Machine Learning, Method Development, Artificial Intelligence, Data Modeling, Data Visualization, Data Validation, Deep Learning, MySQL, MongoDB, Python, Plotly, Seaborn, Matplotlib",CDAC ACTS,B.Tech,Electronics and Telecommunication,BlueM Solutions,Associate Software Engineer and Analyst
Karan Malhotra,"Operations management, Change management, Inventory control, Policy/program development, Supervision and training, Sound judgment, Computersavvy, Calm under pressure, Complex problem solving, Motivational, Continuous Improvement, Out of the box thinking, Analytical and logical, Strong Leadership skills, Lean Manufacturing and Management, Six Sigma tools and methodologies, RCM, FMEA, DMAIC, PFD, Six Sigma Certified, Microsoft Office 2003-2011, Microsoft Visio, 2008-2010, Business Objects, SAP, Apple Lion, Pages, Keynote, Numbers, Microsoft Access 2010, Visual Studio 2008-2010, Microsoft Project, Netbeans, TextPad, SQL Server 2008, PowerSteering, Tango, HTML, Css, Java, Java Script, C++, VB.NET, ASP.NET, Web Design 1, Web Design 2, Algorithms, Software Engineering, VB.NET, ASP.NET, Apple, Budget Management, Business Objects, C++, Calculator, Coach, interpersonal skills, Continuous Improvement, Css, client, customer relations, customer service, documentation, Facilities Management, Financial Reporting, GUI, HTML, Human Resource Management, HR, Inventory, inventory levels, Inventory Control, Java, Java 1, Java 2, Java Script, Leadership skills, Lean Manufacturing, managing, manufacturing process, materials, Microsoft Access, Microsoft Office, Microsoft Project, Microsoft Visio, Works, personnel, policies, problem-solving skills, processes, project management, Purchasing, quality, maintain records, re-engineering, repairs, reporting, safety, SAP, Six Sigma, Software Engineering, software training, SQL Server, supervision, supply chain, supply chain management, Tango, user support, Visual Studio, water treatment, Web Design 1, Web Design 2, websites","McFord University, McFord University, University Of Phoenix College","B.S, M.S, B.S.I.T","Mechanical Engineering, Electrical Engineering, Software Engineering","Company Name, Company Name, Company Name","Corporate Process/Systems Engineering Manager, SDI Site Operations Manager, Operations Group Manager"
Ananya Singh,"Data Analytics, Natural Language Processing, Production Engineering, Production Analytics, Tableau, Machine Learning, Python, NLTK",SMV Institute of Technology,B.Tech,Electrical and Electronics,Mahindra Ltd,Assistant Analyst
Ananya Kumar,"Python, Java, Julia, R, Matlab, Unix Shell Scripting (bash), Linux, Mac OSX, Windows, LATEX, Weka","University of Toronto, University of Toronto, University of Pittsburgh","PhD, M.S., B.S.","Computer Science, Computer Science, Computer Science and Mathematics","Microsoft Research, University of Toronto, Department of Computer Science, University of Pittsburgh Department of Computer Science, University of Pittsburgh Department of Computer Science, Information Sciences Institute, University of Southern California","Research Intern, Research Assistant, Research Assistant, Directed Study, Research Assistant, DREU Program"
Riya Sharma,"Machine Learning Engineer, C++, Technical Documentation, Natural Language Processing, SQL, Tableau, Python, AWS, Azure, SAP, OracleDB, Heroku","KLE College of Engineering, Belagavi",B.Tech,Telecommunication,VoyaGenius Labs,Software Developer (ML)
Aarav Jain,"Data Analysis, Business Analysis, Statistical Analysis, Regression Analysis, Natural Language Processing, Machine Learning, Numerical Analysis","IISc, IIIT Bangalore","BSc, MSc","Statistics, Data Analysis and Statistical Computation",BVB,Statistical Analyst
Riya Chopra,"Data Scientist, Machine Learning, Python, Big Data, SQL, PySpark, Scala, Hive, Scikit Learn, Pandas, Matplotlib, Natural Language Processing, Transformers, BERT","LPU, Chandigarh",B.tech,ECE,NeuraTech,Developer
Aarav Sinha,"CPR & First Aid Certified, Proficient in Microsoft Word, Basic knowledge of Microsoft PowerPoint and Excel",Southeastern Louisiana University,Bachelor of Science,Biological Sciences,"SLU Food Services, Self-Employed","Dining Room Attendant, Babysitter"
Ananya Chauhan,"accounts receivable, AIA, bank reconciliation, billing, billings, budgets, daily cash receipts, cash flow, Consultant, Contracts, Controller, clients, financial, financial reports, financial statements, Forms, General Ledger, general ledger accounts, Government, insurance, meetings, excel, Microsoft office applications, office, PowerPoint, Pivot tables, presentations, Prime, progress, proposals, Express, reporting, spreadsheet, tax, Timberline","American Intercontinental University, Florida International University","M.B.A, B.A","Business Administrator, Accounting","Company Name, Company Name, Company Name, Company Name","Project Accountant, Project Administrator Engineering, Project Administrator, Senior Staff Accountant"
Vikram Patel,"Administrative support, AP, Critical thinking, Doors, Engineer, Senior Management, Forms, Functional, Leadership, Machinery, Navy, Oil, Organizational, Pearl, Personnel, Personnel management, Pick, Problem solving, Progress, Project management, Proposals, Quality assurance, Repairs, Reporting, Requirement, Switches, Time management, Troubles, Technical review, Blueprint understanding, Project support, Document control, Engineering operational functions, SharePoint, Manufacturing systems integration, Team management","State of Ohio, Navy, Navy, Navy, Navy, Navy, Navy, Navy, Navy, Navy, Navy","GED, A-651-0118, Engineering Common Core, A-651-0120, Engineering Mechanical, A-652-0298, Gas Turbine Mechanical/Electrical A School, A-651-0119, Engineering Electrical, A-652-0240, SHIPBD GAGE CAL, A-495-0018, SHIPBOARD FIREFIGHTING, A-652-0188, Waste Heat Boilers, A-012-0077, Class Facilitator Instructional Delivery Continuum, G-651-0613, MACHINERY CONTROL SYSTEM, J-500-0029, Marine Maintenance And Ship Repair 3-M System Coordinator/Inspector","N/A, Engineering, Basic Propulsion Equipment, Gas Turbine Mechanical, Electrical, SHIPBD GAGE CAL, SHIPBOARD FIREFIGHTING, Waste Heat Boilers, Class Facilitator Instructional, MACHINERY CONTROL SYSTEM, Marine Maintenance And Ship Repair","Company Name, Company Name, Company Name","Engineering Assistant, Electrical Superintendent, Engineering Assistant"
Aanya Nair,"Neural Networks, Python, Postgresql, Django, Microsoft Azure, Flask, Hive, Kafka, Business Analysis, Machine Learning, Deep Learning","SSGM, Maharashtra, International Institute of Information Technology (IIIT), Bangalore","B.Tech, MSc","Electronics/Telecommunication, Data Science",Tata Consultancy Services,Machine Learning Engineer
Kabir Rao,"Lead Development, build teams, mentor, interface with customers and vendors, architect end to end, Develop products in consumer electronics, digital TV, industrial automation, control systems, C, C++, JAVA, JVM, Embedded Linux, LXC, Device Drivers, Socs, RTOS - OS9, VXWorks, DVB, MPEG, H.264, HLS, MP4, JSON, REST, SOAP, XML, SNMP, TR069, Microcontrollers, hardware, Matlab, Octave, Mathematical modeling, Integrating content protection systems, Agile Methodologies, Scrum, SDLC, project planning and management, leadership","Indian Institute of Technology, Devi Ahilya University, Coursera - Stanford","M.Tech, B.E, Course","Control Systems, Electrical Engineering, Machine learning","Company Name, Company Name, Company Name","Engineering Manager, Engineering Manager, Architect, Senior Software Engineer"
Vikram Kapoor,"Object-oriented programming, manual testing, technical report writing, Windows XP/Vista, Unix, Linux, Administration of Windows 2000 Server, MIPS Assembler, Unix Shell Scripts, C, Java, JVS, VBS, PL/SQL, ASP, Digital Logic, Verilog Hardware Language, installation and configuration of peripherals, troubleshooting hardware, embedded systems, robotics, MS Office Suite, MS Visio, MS Project, SQL Navigator, Remedy, Eclipse","York University, Toronto",Honours Bachelor of Science,Computer Science,"Future Shop, York University","Customer Service Representative, Academic Resource Advisor"
Krishna Patel,"C, R, Catia, AutoCAD, ANSYS, Microsoft office, Product Project Management, GD&T, Minitab, Kanban, Kaizen, FMEA, development, Toyota production systems, APQP, PPAP, 8D, 5 why, KPIs, Reliability SAE Standards, Vehicle ergonomics, DVP&R, QCC, CNC engineering, Programming, anatomy, benchmarking, lean manufacturing, manufacturing process, cost analysis, packaging, process engineering, Product Development, surveys, validation, welding","University of Michigan Dearborn, Visvesvaraya Technological University","Master of Science, Bachelor of Engineering","Manufacturing Systems Engineering, Mechanical Engineering","Company Name, Company Name","Engineering Assistant, Engineer"
Vihaan Kumar,"C/Python, R, STK, CATIA, ANSYS, LaTeX, SolidWorks, Microsoft Office, Microsoft Project","NORTMEAD HIGH SCHOOL, UNIVERSITY OF NEW SOUTH WALES (UNSW)","High School Diploma, Bachelor of Science, BE Bachelor of Engineering (Honours) (Aerospace)","MATHEMATICS, PHYSICS, CHEMISTRY, ENGINEERING, Aerospace","Company Name, Company Name, Company Name","Engineering intern, Tutor, Mechanical Design Engineer"
Aditya Reddy,"advertising, competitive, content, contracts, customer satisfaction, customer service, customer support, fashion, fast, functional, marketing strategies, marketing, market, marketing material, networking, payroll, progress, promotion, quality, selling, sales, script, strategic, telephone, phone, training manuals",Mesa High School,High School Diploma,,"Company Name, Company Name, Company Name, Company Name","Business Development Manager, Event Manager, Customer Service Call Center Manager, Customer Service Representative / Call Center"
Kabir Chauhan,"HTML, CSS, JavaScript (Angular), Python, Git, Algorithm Design, Technical Writing, Data Analysis, Interpersonal Communication, Patience","Princeton International School of Mathematics and Science, New York University","Master of Science, Bachelor of Science","Computer Science, Computer Science","Princeton International School of Mathematics and Science, HKA Enterprises, Academy of Mine","Computer Science Teacher, Software Engineer, Junior Software Engineer"
Aisha Das,"Generally Accepted Accounting Principles, Generally Accepted Auditing Standards, Interviewing Techniques, Research & Data Gathering, Financial Analysis, Budget Preparation, Accounts Payable/Accounts Receivable, Implementing Effective Internal Controls, OMB Circular A-133, MS Office, Quickbooks, Accounting, Administrative, Agency, Audit Report, Backup, Bank Reconciliations, Basic, Billing, Budgets, Cash Register, Cashier, Catalog, Clerical, Conferences, Contracts, Client, Data Analysis, Database, Decision-making, Direction, Documentation, Financial, Financial Statements, Funds, Legal, Money, Policies, Processes, Video","Fox School of Business, Temple University",Bachelor Business Administration,Accounting,"Company Name, Company Name, Company Name, Company Name","Accountant, Administrative Specialist II, Auditor II, Accountant"
Ananya Kapoor,"MIS reporting, Advanced Excel, Dashboards, Data Analysis, SQL, MySQL, Power Bi, Machine Learning, Linear Regression, Statistical Analysis, Clustering, NoSQL, MongoDB, Python, EDA, Business Intelligence, Logistic Regression","Shivaji College, Indira Gandhi National Open University","B.A (Economics), M.A (Economics), Correspondence/Distance Learning","Economics, Economics",Justdial,MIS Analyst
Kabir Kapoor,,"Portland State University, University of Pittsburgh","M.S., B.S.","Computer Science, Computer Science","FreshDirect, Marketing Science Associates","Full Stack Engineer Intern, Full Stack Engineer Intern"
Aanya Rao,"streamline, approach, balance sheet, bonds, budgeting, business development, cash flow, clinical research, clinical trials, com, consulting, corporate finance, CRM, database, email, English, equities, Fast, financials, financing, financial, fundraising, funds, graphical user interface, information systems, Innovation, inventory, marketing, network, neural, next, presentations, Speaker, sales, scientific, Spanish, strategy, strategic, websites","McCallum Graduate School at Bentley University, Bentley University","Masters in Finance, Bachelor of Science","Finance, Economics & Finance","PainQx, LSN, Abpro","VP of Business Development, Co-Founder VP of Business Development, N/A"
Priya Chauhan,"Basic and Advanced Supervision Training Courses, CBMET, Toshiba certified service trained on Aquilion 16, 32 and 64 slice CTs, Toshiba certified service trained on Vantage 1.5 T 8 channel MRI, Toshiba certified service trained on Siemens E-Cam Nuclear Medicine Camera, Aramark service trained on GE AMX 4 and AMX4+ portable XR unit, Aramark service trained on GE 9600, 9800, 9900 Portable C-Arm, Aramark service trained on GE Precision 500 Radiology and Fluoroscopic image system, Microsoft Applications, Foresight Imaging Systems trained on DICOM protocols, Skilled in the operation of MS 2000, Windows 7, MySQL, PHP, Apache, UNIX, Linux, Cisco, Skilled in the operation of networks, Skilled in the operation of workstations and servers","West Virginia State University, Marshall University, Center College","AAS, BA, Diploma","Electronic Technology, Business Management, Computer Programming","Company Name, Company Name, Company Name, Company Name","Clinical Engineering Manager, Imaging Service Engineer, Imaging Service Engineer, Biomedical Equipment Technician II"
Ishaan Sinha,"Problem resolution, Results-oriented, Meticulous attention to detail, Managing multiple priorities, Active Learning, Client Relations, Computer Proficiency, Creative Problem Solving, Critical Thinking, Data Collection, Data Entry, Documentation, Email, Executive Management Support, Filing, Internet Research, Letters and Memos, Minute Taking, Multi-Task Management, Organizational Skills, Research, Scheduling, Service Orientation, Speaking, Spreadsheets, Travel Arrangements","Denver High School, Front Range Community College","High School Diploma,",", General Studies","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Business Development, Service Manager, System Technology Specialist, Project Manager, Support Manager, Project Administrator"
Tanya Chopra,"Python, Visual Studio Code, Mercurial",Harvard University,B.S.,Computer Science,"FortresMs, TravelBuddy","Mobile App Developer, Front-End Developer"
Krishna Bose,"Computer System Building and Repair, Hardware and Software Installation, Diagnostic Software Utilities, Remote Access, Networking, Computer Management, CNNs, LSTMs, PyTorch",Bob Jones University,B.S.,Computer Science,"Collins Aerospace, Aeronix Inc., Netalytics","Computer Scientist, Machine Learning Scientist, Entry-Level Computer Support Specialist"
Karan Verma,"Data Science, Analysis, Machine Learning, Bounding Algorithms, Heuristics, ANN, Decision Trees, SVM, Hypothesis Analysis, Optimization","St Josephs College of Arts and Science Bengaluru, St Josephs College of Arts and Science Bengaluru","B.Sc (Computer Science Engineering), M.Sc (Data Science)","Computer Science Engineering, Data Science",Crison Global Service,Intern
Aanya Malhotra,"Data Analysis, Machine Learning, Data Science, Statistical Analysis, Time Series Analysis, Statistical Modelling, Data Manipulation, Python, R, Tableau, SQL, Django, PostgreSQL",Nagpur University,B.Tech,Electronics Engineering,AMZ Loans and Mortgages,Analyst
Priya Das,"assisted living, interpersonal and communication, insurance, internal medicine, managing, marketing, marketing/sales, meetings, mentor, office, networking, organizing, orthopedics, outside sales, physical therapy, rehabilitation, sales, seminars, Team player, time management",ARIZONA STATE UNIVERSITY,B.A,Organizational Communication Business Management,"Company Name, Company Name, Company Name, Company Name","Business Development Manager, Marketing/Outside Physician Rep, Marketing Director, Resident Liaison"
Arjun Malhotra,"Material Management, Law Enforcement, mechanical test equipment, PCs, MS Office, 10key by touch, Customer Service, Forklift and Crane Certification, Self-motivation, Leadership, NDT Level II, mechanical theory, pneumatic and hydraulic theory, automation, closing, coaching, oral, hardware, customer support, designing, direction, hand tools, inventory, ISO 9001, Machinery, materials, mechanical, personnel, processes, Procurement, programming, progress, quality, Quality Control, Receiving, repairs, repairing, research, robotic systems, safety, scheduling, shipping, simulation, Supervisor, Test Equipment, Troubleshooting, written, articles","Monterey Peninsula College, San Francisco Police Academy","General Courses, Technical Diploma",",","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Equipment Engineering Technician, Mechanical Technician, Operating Engineer / Test Technician, Logistics Coordinator / Sr. Lab Technician, Production Control Analyst, Material/Production Planner"
Vihaan Jain,"Business analyst, Data modeling, Business intelligence, ERP implementation, html, Requirement Gathering, Power Bi, Project Management","SP University, SP University","BBA, MBA","Management, Information Technology",JVV IT Solutions,Business Analyst
Saanvi Sinha,"Data Analyst, Database Management, Data Integration, Machine Learning, Natural Language Processing, Artificial Intelligence, Deep Learning, Python, SQL, Data Science, Tableau, PowerBi, Business Analysis, AWS Lambda, Spark, PySpark, Azure, SQL Server","Madras University, SRM University (SRMU)","B.Com, MBA","Commerce, N/A",Geakminds Inc,Associate Data Science Engineer
Meera Reddy,"Word, SAP Time Approval, Excel, Travel Arranger, Access Database, Purchase Reqs in SAP, OutLook, IOs in SAP, Pcard purchases, Royalty Agreement Tracking",Oklahoma Jr. College,Associate of Arts,Administrative Assistance,"Company Name, Company Name, Company Name, Company Name","ENGINEERING COORDINATOR, FACILITIES TEMP, FACILITIES ADMINISTRATOR, BULK TELLER"
Kabir Mehta,"Data Science, Customer analytics, Data Visualization, Natural language Processing, SQL, Python, R, Tableau, Alteryx, Process Improvement",Maulana Malviya College for Informatics,B.Tech,ECE,Orchidia Tours and Travels,Data Managerial Intern
Ishaan Chopra,"assembly, AutoCAD, automation, budgets, budget, CNC, electronics, layout, machine tools, machinery, market, materials, mathematics, mechanical, networks, packaging, PLC, policies, presentations, programming, Project management, quality, recording, sales, spreadsheet, team work","Penn State, Faith Christian Academy",", General Diploma","AutoCad,","Company Name, Company Name, Company Name","Engineering Manager/Senior Mechanical Designer, Plant Manager/Project Manager, Precision Machinist"
Diya Joshi,"Microsoft Office (Word, Excel, Power Point, Outlook), Abila MIP Fund Accounting Software, QuickBooks, QuickBooks Pro, Quicken, ADP, Paychex, Payroll Experts, QuickBooks Payroll Systems",Arizona State University,Bachelor of Science,Business Management,"Company Name, Company Name, Company Name, Company Name","Staff Accountant, Independent Accounting Consultant, Accounting Manager/Human Resources, Accounting and Human Resources Manager"
